iter	TotalF1:average=Macro	MultiClass
271	0.6067053144	0.965805049
272	0.607063031	0.9653422674
273	0.6073776649	0.9649737854
274	0.6073815111	0.9647940684
275	0.6076073772	0.9642553326
276	0.60767471	0.9639706908
277	0.6078544348	0.9637870723
278	0.6078947939	0.9635079922
279	0.6078310702	0.9630350004
280	0.6078182099	0.9629097381
281	0.6080254177	0.9626024345
282	0.6081414894	0.9624568347
283	0.6081441504	0.9623169626
284	0.60894833	0.9618280329
285	0.609169373	0.9613835135
286	0.6090884334	0.9612136748
287	0.6091516718	0.9608607986
288	0.6095103234	0.9604892452
289	0.6098750703	0.9599816382
290	0.6099689787	0.9598069018
291	0.6100434836	0.9594022273
292	0.6104062569	0.9590821402
293	0.6104397069	0.9589505691
294	0.6103908747	0.9586280747
295	0.6105375398	0.9583816176
296	0.6107273707	0.9582468091
297	0.6109944541	0.9579978617
298	0.611251826	0.9575579909
299	0.6113983997	0.9570893986
300	0.6116889524	0.9567285535
301	0.6119019668	0.9563468728
302	0.6117936601	0.9561983677
303	0.6123535877	0.9556634503
304	0.6123372028	0.9554247961
305	0.6123538386	0.955096242
306	0.6124439402	0.9546419274
307	0.6127323512	0.9542339326
308	0.6131137913	0.953771151
309	0.6132333369	0.9535822199
310	0.6132205419	0.9533781809
311	0.6134851289	0.95308391
312	0.6136649862	0.9528761356
313	0.6136903844	0.9526450353
314	0.6138967652	0.9523795689
315	0.6140591111	0.9521716285
316	0.6142301499	0.9517921061
317	0.6144261894	0.9514046147
318	0.6143855409	0.9508576608
319	0.6145943093	0.9507421107
320	0.6146537127	0.950539566
321	0.614732464	0.9503487256
322	0.6149015477	0.9501236851
323	0.6152459959	0.9499093529
324	0.6154878113	0.9494964604
325	0.6153904129	0.9493887963
326	0.6154700013	0.9491060637
327	0.6156335885	0.9488361147
328	0.6159992726	0.9484991765
329	0.6158973994	0.9482796147
330	0.6157059378	0.94808562
331	0.6161819632	0.9475820804
332	0.6163232804	0.9471387232
333	0.6165193923	0.9468312537
334	0.6166905003	0.9463829158
335	0.616912129	0.9461613618
336	0.6170909495	0.9459795695
337	0.6173349966	0.945639809
338	0.6173798202	0.9453149903
339	0.6178583961	0.9450776643
340	0.6181337171	0.9448477262
341	0.6184155254	0.9444179827
342	0.6184373528	0.944076977
343	0.6187493051	0.9436731326
344	0.6189384928	0.9430145301
345	0.6189094602	0.9427286431
346	0.6188649115	0.9425593855
347	0.6190982379	0.9422311633
348	0.6189825341	0.9420429793
349	0.6192558634	0.9419079218
350	0.6194744105	0.9415324669
351	0.6196191732	0.9412901603
352	0.6196997724	0.941091683
353	0.6198491512	0.940845973
354	0.619851583	0.9407144849
355	0.620019198	0.940510446
356	0.620024122	0.9402247251
357	0.620390992	0.9399272167
358	0.6205437043	0.9397676712
359	0.6205570561	0.9394609487
360	0.6209716305	0.9392475296
361	0.6209126484	0.9391518189
362	0.6209979946	0.9389582393
363	0.6212008711	0.9387114501
364	0.6212364936	0.9385192816
365	0.621346615	0.9382964824
366	0.6215656037	0.938113528
367	0.6217979819	0.9377755937
368	0.6216872062	0.9374879635
369	0.6221612136	0.9368472082
370	0.6222673291	0.9366039055
371	0.6221985381	0.9364597998
372	0.6223881883	0.9360839299
373	0.6226145013	0.9359109368
374	0.6226805415	0.9356817457
375	0.62273711	0.9353854825
376	0.6229149505	0.9351380293
377	0.6232645767	0.9348309747
378	0.6231704395	0.9344581762
379	0.6234697886	0.9340683605
380	0.6236661813	0.9338080407
381	0.6240011739	0.933524312
382	0.6241697479	0.9333235935
383	0.624215675	0.9330926592
384	0.6243321905	0.9327587924
385	0.624840098	0.9323020706
386	0.6249508419	0.9321640247
387	0.6250466973	0.9319562503
388	0.6251225358	0.9318216079
389	0.6253372376	0.9316190631
390	0.6253599472	0.931388793
391	0.6255224032	0.9310496965
392	0.6258358651	0.9307806606
393	0.6257506301	0.930325931
394	0.6258786515	0.930210713
395	0.6261846116	0.929834594
396	0.6264926042	0.9296494814
397	0.6265910602	0.929450589
398	0.6265901324	0.9293303903
399	0.6265385701	0.929172007
400	0.6265019254	0.9289165848
401	0.6264858839	0.9286557669
402	0.6266207895	0.9283763547
403	0.6266302311	0.9281979659
404	0.6270896783	0.9277951177
405	0.6272139558	0.9276023681
406	0.6272690987	0.9275460872
407	0.627384976	0.9273843005
408	0.6274596251	0.9272582911
409	0.6275335501	0.9271111141
410	0.6274516723	0.9269266655
411	0.6274540044	0.926767369
412	0.627639267	0.9264305969
413	0.6280367581	0.9259666532
414	0.6281602652	0.9258443792
415	0.6283665792	0.9254860244
416	0.628398832	0.9252687869
417	0.6284743208	0.9248890154
418	0.6284477751	0.9246718609
419	0.6284179079	0.9244505558
420	0.6286720232	0.9240477076
421	0.6288505076	0.9239672708
422	0.6290052209	0.9236602992
423	0.6291656184	0.9235802775
424	0.6292194171	0.9234743565
425	0.6293283104	0.9233468529
426	0.629368715	0.9227184661
427	0.6295418869	0.9224269345
428	0.6298712073	0.9221998187
429	0.6301649081	0.9218611373
430	0.6301760728	0.9215844645
