iter	TotalF1:average=Macro	MultiClass
230	0.6298404274	0.9082052091
231	0.6299715996	0.9077379683
232	0.6303376046	0.9071625175
233	0.6304623341	0.9068321386
234	0.6306965938	0.9063946625
235	0.6309620161	0.9059447612
236	0.6312335705	0.905572007
237	0.6312966895	0.9052896597
238	0.6314550103	0.9050126903
239	0.6317599499	0.904730992
240	0.6318515904	0.9044501283
241	0.6319484662	0.9040757051
242	0.6321528793	0.9036568666
243	0.6326219273	0.9031020935
244	0.6327451933	0.9026929911
245	0.6328992524	0.9021780897
246	0.6328707451	0.901764722
247	0.6331443837	0.9010725305
248	0.6334942256	0.9006572156
249	0.6334389978	0.9004809456
250	0.6336530844	0.8998773991
251	0.6339298803	0.899617213
252	0.6339549995	0.8993792809
253	0.6341637823	0.8988162552
254	0.634500728	0.8983501271
255	0.6346999389	0.8981338926
256	0.6348282187	0.8978705538
257	0.6350578458	0.8975448112
258	0.6352066899	0.8970752522
259	0.6354216232	0.8966819131
260	0.6355546538	0.8965673051
261	0.6357381219	0.8960867119
262	0.6360289379	0.8955857192
263	0.6363645122	0.8949315449
264	0.6364334955	0.8945945826
265	0.6367191262	0.894107035
266	0.6370106231	0.8936803149
267	0.6370919615	0.8934809563
268	0.6373712618	0.8929114399
269	0.6375657647	0.8927432369
270	0.6378763754	0.8922373298
271	0.6379173847	0.8919878998
272	0.6380663791	0.8917695326
273	0.6382752261	0.8914746674
274	0.63847063	0.8909785891
275	0.6384763852	0.8908277256
276	0.6385004024	0.8906725969
277	0.6386608879	0.8903163477
278	0.6388604083	0.8900621887
279	0.6389205818	0.8899090072
280	0.6396113768	0.8891476429
281	0.6396136293	0.8888709518
282	0.6397362262	0.8884494243
283	0.6399075112	0.8880686031
284	0.6400843385	0.8878750862
285	0.640388124	0.8875331167
286	0.6405840959	0.887353694
287	0.6407108965	0.8871370886
288	0.6410155456	0.8866302542
289	0.6410072308	0.8865179643
290	0.6412732091	0.886167186
291	0.6412949988	0.8859473352
292	0.6415514611	0.8855116208
293	0.6417703466	0.8848793297
294	0.6419445722	0.8845411619
295	0.6418706442	0.8842978517
296	0.6421021987	0.8838815168
