iter	Passed	Remaining
399	79642	318570
400	79953	318816
401	80295	319183
402	80612	319448
403	80920	319676
404	81258	320018
405	81602	320380
406	81925	320656
407	82227	320849
408	82527	321031
409	82849	321295
410	83177	321579
411	83501	321846
412	83803	322022
413	84118	322251
414	84498	322722
415	84828	323000
416	85127	323156
417	85438	323358
418	85748	323552
419	86088	323857
420	86393	324025
421	86693	324175
422	86963	324212
423	87216	324182
424	87464	324132
425	87723	324122
426	87984	324119
427	88289	324276
428	88537	324226
429	88800	324226
430	89056	324197
431	89316	324184
432	89554	324090
433	89780	323955
434	90022	323874
435	90277	323840
436	90540	323833
437	90810	323851
438	91061	323795
439	91328	323802
440	91577	323739
441	91871	323835
442	92221	324127
443	92537	324299
444	92831	324388
445	93129	324491
446	93432	324611
447	93756	324798
448	94030	324814
449	94320	324881
450	94620	324981
451	94947	325173
452	95232	325219
453	95535	325327
454	95846	325458
455	96138	325521
456	96436	325605
457	96736	325692
458	97035	325778
459	97322	325817
460	97637	325953
461	97910	325944
462	98196	325978
463	98460	325936
464	98747	325974
465	99043	326035
466	99322	326042
467	99609	326073
468	99922	326185
469	100217	326240
470	100521	326321
471	100803	326329
472	101088	326346
473	101378	326379
474	101661	326387
475	101982	326515
476	102278	326563
477	102548	326524
478	102755	326285
479	102990	326136
480	103210	325939
481	103450	325804
482	103672	325613
483	103916	325490
484	104141	325308
485	104372	325143
486	104593	324948
487	104810	324741
488	105050	324604
489	105280	324435
490	105510	324268
491	105734	324081
492	105952	323876
493	106168	323662
494	106409	323528
495	106638	323356
496	106864	323173
497	107088	322986
498	107297	322752
499	107507	322521
500	107706	322260
501	107928	322066
502	108133	321822
503	108345	321596
504	108556	321369
505	108764	321134
506	108993	320960
507	109197	320712
508	109404	320474
509	109630	320292
510	109841	320067
511	110051	319836
512	110270	319634
513	110474	319386
514	110682	319152
515	110891	318920
516	111082	318637
517	111292	318408
518	111538	318283
519	111744	318042
520	111962	317836
521	112190	317657
522	112420	317486
523	112654	317323
524	112887	317159
525	113095	316924
526	113324	316750
527	113552	316570
528	113776	316381
529	114001	316192
530	114218	315983
531	114450	315813
532	114727	315769
533	114947	315568
534	115150	315319
535	115378	315138
536	115572	314865
537	115778	314625
538	115994	314412
539	116191	314148
540	116399	313914
541	116602	313666
542	116803	313411
543	117018	313196
544	117244	313010
545	117500	312904
546	117720	312702
547	117942	312504
548	118160	312296
549	118377	312085
550	118622	311948
551	118844	311751
552	119049	311509
553	119289	311359
554	119506	311147
555	119710	310901
556	119916	310663
557	120121	310422
558	120335	310201
559	120577	310057
560	120805	309872
561	121046	309723
562	121281	309557
563	121482	309307
564	121689	309069
565	121896	308834
566	122106	308604
567	122308	308354
568	122530	308157
569	122744	307938
570	122971	307752
571	123181	307522
572	123390	307292
573	123604	307072
574	123807	306827
575	124018	306600
576	124237	306395
577	124446	306164
578	124656	305935
579	124891	305768
580	125104	305547
581	125344	305391
582	125567	305195
583	125786	304988
584	125990	304746
585	126227	304583
586	126456	304400
587	126679	304204
588	126917	304042
589	127137	303838
590	127384	303697
591	127604	303492
592	127833	303307
593	128072	303147
594	128296	302952
595	128514	302742
596	128749	302572
597	128988	302411
598	129213	302218
599	129466	302089
600	129683	301875
601	129922	301713
602	130137	301495
603	130388	301362
604	130604	301146
605	130842	300979
606	131071	300794
607	131304	300618
608	131535	300436
609	131773	300271
610	132001	300081
611	132223	299878
612	132456	299701
613	132704	299556
614	132933	299371
615	133157	299171
616	133412	299042
617	133635	298841
618	133854	298630
619	134103	298487
620	134336	298309
621	134570	298131
622	134794	297933
623	135023	297743
624	135248	297546
625	135489	297383
626	135723	297205
627	135942	296995
628	136176	296816
629	136402	296620
630	136638	296446
631	136871	296265
632	137098	296072
633	137342	295914
634	137585	295754
635	137813	295562
636	138038	295362
637	138260	295157
638	138497	294983
639	138738	294819
640	138960	294612
641	139208	294463
642	139453	294304
643	139678	294104
644	139912	293924
645	140140	293731
646	140359	293518
647	140594	293339
648	140842	293186
649	141081	293015
650	141320	292842
651	141548	292649
652	141791	292485
653	142027	292307
654	142258	292119
655	142506	291964
656	142742	291784
657	142985	291621
658	143225	291448
659	143452	291251
660	143690	291076
661	143926	290896
662	144159	290711
663	144390	290520
664	144619	290326
665	144872	290179
666	145098	289980
667	145332	289795
668	145557	289592
669	145798	289420
670	146055	289280
671	146293	289104
672	146532	288928
673	146759	288729
674	146997	288551
675	147236	288374
676	147465	288178
677	147695	287984
678	147950	287838
679	148194	287672
680	148437	287501
681	148667	287308
682	148896	287111
683	149150	286962
684	149380	286766
685	149696	286736
686	149938	286563
687	150184	286398
688	150418	286210
689	150650	286017
690	150880	285821
691	151107	285618
692	151348	285444
693	151597	285282
694	151849	285128
695	152125	285016
696	152386	284878
697	152641	284727
698	152916	284613
699	153169	284456
700	153432	284321
701	153693	284179
702	153958	284046
703	154228	283921
704	154491	283782
705	154748	283631
706	155037	283540
707	155286	283376
708	155515	283175
709	155753	282989
710	155978	282779
711	156214	282590
712	156455	282410
713	156684	282207
714	156927	282029
715	157167	281848
716	157384	281623
717	157611	281417
718	157844	281222
719	158075	281023
720	158294	280803
721	158529	280610
722	158746	280385
723	158976	280184
724	159220	280009
725	159473	279847
726	159734	279699
727	159991	279545
728	160243	279381
729	160482	279195
730	160742	279044
731	160987	278868
732	161242	278710
733	161507	278567
734	161753	278392
735	162000	278217
736	162252	278053
737	162487	277857
738	162744	277700
739	162991	277526
740	163236	277347
741	163490	277184
742	163763	277052
743	164025	276903
744	164291	276760
745	164522	276557
746	164763	276369
747	164979	276142
748	165208	275935
749	165436	275728
750	165666	275522
751	165902	275327
752	166149	275150
753	166374	274937
754	166605	274734
755	166846	274546
756	167078	274344
757	167321	274160
758	167548	273950
759	167777	273742
760	167998	273522
761	168239	273334
762	168475	273137
763	168713	272944
764	168952	272754
765	169179	272542
766	169416	272346
767	169668	272176
768	169896	271967
769	170134	271772
770	170370	271576
771	170586	271347
772	170828	271160
773	171061	270958
774	171288	270745
775	171528	270555
776	171766	270361
777	171999	270158
778	172247	269979
779	172468	269758
780	172699	269552
781	172928	269343
782	173163	269144
783	173385	268924
784	173604	268699
785	173836	268496
786	174070	268294
787	174304	268092
788	174526	267873
789	174747	267651
790	174976	267442
791	175193	267213
792	175420	267001
793	175640	266779
794	175880	266586
795	176118	266389
796	176360	266199
797	176586	265985
798	176826	265793
799	177059	265589
800	177275	265359
801	177509	265157
802	177743	264954
803	177967	264737
804	178194	264524
805	178420	264310
806	178656	264109
807	178877	263888
808	179112	263687
809	179350	263489
810	179573	263270
811	179793	263048
812	180018	262830
813	180266	262649
814	180512	262463
815	180768	262291
816	180997	262080
817	181234	261882
818	181481	261696
819	181745	261536
820	181982	261336
821	182234	261158
822	182472	260959
823	182725	260783
824	182973	260599
825	183234	260432
826	183480	260245
827	183747	260086
828	184003	259913
829	184222	259686
830	184464	259493
831	184680	259263
832	184910	259052
833	185144	258846
834	185376	258639
835	185596	258413
836	185823	258199
837	186057	257994
838	186273	257763
839	186503	257552
840	186720	257323
841	186943	257102
842	187156	256868
843	187347	256604
844	187572	256385
845	187797	256167
846	188021	255949
847	188240	255723
848	188458	255496
849	188688	255285
850	188909	255061
851	189144	254856
852	189369	254638
853	189598	254426
854	189846	254239
855	190055	253999
856	190272	253770
857	190487	253539
858	190697	253301
859	190920	253081
860	191121	252830
861	191353	252622
862	191563	252384
863	191768	252139
864	191996	251926
865	192213	251697
866	192419	251454
867	192655	251250
868	192863	251011
869	193088	250792
870	193309	250569
871	193520	250333
872	193737	250105
873	193961	249885
874	194175	249653
875	194388	249421
876	194629	249222
877	194844	248992
878	195102	248816
879	195345	248620
880	195561	248392
881	195786	248174
882	196018	247964
883	196235	247735
884	196451	247506
885	196658	247266
886	196875	247037
887	197102	246822
888	197319	246594
889	197554	246388
890	197758	246143
891	197976	245917
892	198194	245690
893	198418	245470
894	198625	245230
895	198843	245003
896	199054	244768
897	199271	244539
898	199491	244316
899	199689	244065
900	199885	243811
901	200108	243591
902	200313	243349
903	200510	243097
904	200716	242855
905	200915	242606
906	201103	242344
907	201303	242095
908	201501	241846
909	201690	241585
910	201898	241347
911	202089	241089
912	202293	240846
913	202508	240616
914	202676	240331
915	202873	240081
916	203063	239822
917	203272	239587
918	203465	239332
919	203666	239086
920	203872	238847
921	204064	238591
922	204255	238335
923	204461	238096
924	204658	237846
925	204839	237578
926	205055	237351
927	205247	237096
928	205437	236839
929	205613	236566
930	205806	236313
931	206011	236073
932	206207	235824
933	206403	235573
934	206589	235313
935	206779	235057
936	206978	234810
937	207169	234557
938	207371	234314
939	207562	234059
940	207746	233798
941	207939	233545
942	208128	233289
943	208326	233043
944	208532	232805
945	208736	232567
946	208946	232334
947	209114	232055
948	209321	231819
949	209532	231588
950	209738	231352
951	209945	231116
952	210185	230917
953	210402	230693
954	210610	230458
955	210822	230228
956	211026	229989
957	211238	229760
958	211458	229539
959	211680	229320
960	211902	229101
961	212101	228857
962	212304	228618
963	212519	228392
964	212726	228157
965	212927	227916
966	213136	227683
967	213354	227460
968	213576	227242
969	213781	227004
970	213977	226758
971	214162	226500
972	214352	226248
973	214536	225990
974	214789	225804
975	215008	225582
976	215195	225327
977	215404	225095
978	215600	224849
979	215802	224610
980	215986	224353
981	216185	224111
982	216383	223867
983	216561	223604
984	216762	223364
985	216950	223111
986	217133	222853
987	217358	222638
988	217567	222406
989	217779	222179
990	217983	221943
991	218165	221683
992	218366	221445
993	218583	221222
994	218784	220983
995	218998	220757
996	219206	220525
997	219405	220285
998	219606	220046
999	219822	219822
1000	220030	219591
1001	220240	219361
1002	220440	219122
1003	220658	218899
1004	220863	218665
1005	221075	218438
1006	221290	218213
1007	221500	217984
1008	221714	217759
1009	221903	217509
1010	222121	217287
1011	222306	217034
1012	222538	216826
1013	222739	216589
1014	222956	216366
1015	223165	216137
1016	223389	215921
1017	223604	215697
1018	223801	215455
1019	223996	215212
1020	224195	214973
1021	224404	214742
1022	224611	214511
1023	224842	214303
1024	225065	214086
1025	225276	213858
1026	225495	213638
1027	225717	213421
1028	225930	213195
1029	226130	212958
1030	226356	212744
1031	226552	212502
1032	226757	212270
1033	226967	212040
1034	227164	211800
1035	227379	211577
1036	227568	211328
1037	227779	211102
1038	227984	210868
1039	228185	210632
1040	228401	210410
1041	228615	210186
1042	228828	209960
1043	229048	209741
1044	229242	209499
1045	229451	209270
1046	229681	209060
1047	229877	208819
1048	230103	208607
1049	230348	208410
1050	230613	208232
1051	230861	208038
1052	231093	207830
1053	231346	207640
1054	231581	207435
1055	231875	207283
1056	232134	207098
1057	232335	206862
1058	232547	206635
1059	232744	206396
1060	232982	206192
1061	233181	205954
1062	233388	205724
1063	233611	205507
1064	233818	205277
1065	234046	205064
1066	234229	204813
1067	234421	204569
1068	234642	204352
1069	234859	204130
1070	235089	203919
1071	235302	203695
1072	235521	203474
1073	235735	203250
1074	235959	203034
1075	236149	202790
1076	236366	202568
1077	236576	202341
1078	236807	202131
1079	237027	201912
1080	237193	201647
1081	237415	201429
1082	237648	201221
1083	237842	200981
1084	238061	200761
1085	238268	200531
1086	238502	200324
1087	238735	200116
1088	238944	199888
1089	239148	199655
1090	239366	199435
1091	239586	199216
1092	239794	198987
1093	239975	198736
1094	240197	198519
1095	240424	198306
1096	240676	198113
1097	240890	197889
1098	241115	197675
1099	241390	197501
1100	241633	197300
1101	241831	197064
1102	242084	196871
1103	242307	196655
1104	242515	196426
1105	242776	196240
1106	243059	196072
1107	243292	195863
1108	243534	195662
1109	243782	195464
1110	244035	195272
1111	244271	195065
1112	244508	194859
1113	244723	194636
1114	244942	194416
1115	245155	194191
1116	245407	193996
1117	245598	193754
1118	245805	193525
1119	246021	193302
1120	246238	193080
1121	246453	192857
1122	246670	192635
1123	246887	192413
1124	247096	192186
1125	247313	191964
1126	247540	191750
1127	247755	191527
1128	247971	191304
1129	248189	191083
1130	248401	190858
1131	248596	190620
1132	248771	190366
1133	248978	190137
1134	249196	189916
1135	249401	189685
1136	249603	189452
1137	249807	189221
1138	250035	189008
1139	250251	188786
1140	250483	188576
1141	250700	188354
1142	250901	188121
1143	251117	187899
1144	251328	187673
1145	251547	187453
1146	251749	187220
1147	251974	187005
1148	252170	186768
1149	252396	186553
1150	252601	186323
1151	252808	186095
1152	253008	185861
1153	253229	185643
1154	253469	185438
1155	253685	185216
1156	253892	184988
1157	254082	184747
1158	254299	184526
1159	254484	184281
1160	254702	184061
1161	254890	183819
1162	255108	183598
1163	255303	183362
1164	255492	183121
1165	255684	182882
1166	255905	182664
1167	256133	182450
1168	256334	182218
1169	256549	181996
1170	256770	181778
1171	256980	181552
1172	257215	181344
1173	257441	181130
1174	257666	180914
1175	257915	180716
1176	258158	180513
1177	258382	180297
1178	258597	180075
1179	258821	179858
1180	259049	179645
1181	259289	179440
1182	259506	179219
1183	259750	179017
1184	259983	178807
1185	260199	178585
1186	260422	178368
1187	260625	178138
1188	260861	177929
1189	261056	177694
1190	261281	177478
1191	261475	177241
1192	261634	176981
1193	261839	176752
1194	262033	176516
1195	262222	176276
1196	262393	176025
1197	262602	175799
1198	262811	175573
1199	263004	175336
1200	263203	175103
1201	263395	174866
1202	263578	174623
1203	263766	174383
1204	263956	174145
1205	264139	173902
1206	264322	173660
1207	264513	173423
1208	264686	173173
1209	264886	172942
1210	265093	172715
1211	265297	172486
1212	265488	172250
1213	265644	171990
1214	265834	171752
1215	266028	171518
1216	266212	171277
1217	266401	171039
1218	266584	170798
1219	266779	170563
1220	266979	170333
1221	267176	170101
1222	267353	169855
1223	267560	169630
1224	267741	169387
1225	267934	169153
1226	268122	168914
1227	268336	168693
1228	268533	168461
1229	268710	168217
1230	268912	167988
1231	269075	167735
1232	269270	167502
1233	269452	167261
1234	269643	167026
1235	269825	166785
1236	270024	166555
1237	270190	166304
1238	270377	166067
1239	270567	165831
1240	270742	165587
1241	270987	165385
1242	271193	165159
1243	271399	164933
1244	271590	164699
1245	271763	164454
1246	271988	164240
1247	272211	164025
1248	272445	163816
1249	272625	163575
1250	272824	163345
1251	273049	163131
1252	273250	162903
1253	273471	162687
1254	273691	162470
1255	273928	162263
1256	274149	162046
1257	274363	161826
1258	274566	161599
1259	274792	161386
1260	275010	161167
1261	275250	160962
1262	275523	160776
1263	275737	160555
1264	275973	160348
1265	276175	160120
1266	276382	159896
1267	276598	159676
1268	276818	159459
1269	277031	159238
1270	277237	159013
1271	277471	158804
1272	277701	158592
1273	277906	158367
1274	278129	158151
1275	278322	157919
1276	278509	157684
1277	278736	157470
1278	278958	157255
1279	279115	157002
1280	279340	156788
1281	279556	156568
1282	279746	156335
1283	280072	156177
1284	280258	155941
1285	280427	155696
1286	280628	155468
1287	280830	155241
1288	281021	155008
1289	281189	154763
1290	281377	154528
1291	281565	154294
1292	281747	154056
1293	281983	153849
1294	282293	153681
1295	282595	153508
1296	282915	153346
1297	283165	153144
1298	283402	152936
1299	283604	152710
1300	283796	152478
1301	283986	152244
1302	284171	152008
1303	284356	151772
1304	284501	151515
1305	284712	151294
1306	284896	151058
1307	285094	150829
1308	285291	150600
1309	285475	150365
1310	285674	150137
1311	285857	149900
1312	286018	149653
1313	286219	149426
1314	286538	149261
1315	286745	149037
1316	286960	148818
1317	287163	148592
1318	287357	148362
1319	287577	148145
1320	287802	147931
1321	288118	147764
1322	288306	147531
1323	288508	147305
1324	288741	147094
1325	288940	146867
1326	289150	146645
1327	289379	146432
1328	289565	146199
1329	289750	145964
1330	289958	145741
1331	290150	145510
1332	290347	145282
1333	290574	145069
1334	290798	144854
1335	291007	144632
1336	291225	144414
1337	291440	144195
1338	291675	143986
1339	291925	143784
1340	292148	143568
1341	292436	143385
1342	292692	143186
1343	292999	143011
1344	293269	142819
1345	293563	142638
1346	293869	142462
1347	294178	142287
1348	294495	142117
1349	294823	141952
1350	295090	141756
1351	295429	141596
1352	295702	141403
1353	296035	141240
1354	296318	141051
1355	296602	140864
1356	296903	140684
1357	297239	140521
1358	297580	140359
1359	297880	140179
1360	298156	139986
1361	298490	139821
1362	298826	139657
1363	299092	139459
1364	299443	139301
1365	299758	139126
1366	300068	138948
1367	300367	138766
1368	300654	138577
1369	300952	138394
1370	301239	138205
1371	301558	138031
1372	301833	137836
1373	302141	137656
1374	302463	137483
1375	302746	137291
1376	302970	137073
1377	303207	136861
1378	303441	136647
1379	303645	136420
1380	303854	136195
1381	304075	135975
1382	304288	135752
1383	304503	135530
1384	304733	135314
1385	304963	135099
1386	305181	134878
1387	305398	134657
1388	305612	134434
1389	305847	134221
1390	306081	134006
1391	306308	133789
1392	306547	133578
1393	306760	133355
1394	306970	133130
1395	307186	132908
1396	307428	132698
1397	307635	132472
1398	307854	132252
1399	308035	132015
1400	308276	131804
1401	308492	131582
1402	308692	131354
1403	308907	131131
1404	309111	130904
1405	309333	130685
1406	309560	130468
1407	309805	130259
1408	310043	130046
1409	310265	129827
1410	310483	129606
1411	310714	129390
1412	310927	129167
1413	311166	128956
1414	311401	128742
1415	311645	128531
1416	311874	128315
1417	312091	128093
1418	312322	127878
1419	312536	127655
1420	312766	127439
1421	312993	127222
1422	313232	127009
1423	313536	126823
1424	313835	126635
1425	314128	126444
1426	314419	126252
1427	314673	126045
1428	314906	125830
1429	315224	125648
1430	315439	125426
1431	315672	125210
1432	315900	124993
1433	316227	124814
1434	316574	124644
1435	316804	124427
1436	317124	124245
1437	317444	124063
1438	317768	123883
1439	318103	123707
1440	318353	123497
1441	318602	123287
1442	318935	123109
